iter	MultiClass
0	1.058697312
1	1.024225299
2	0.9939941025
3	0.9651534119
4	0.9413358662
5	0.9212914473
6	0.9014341717
7	0.882852981
8	0.8672786296
9	0.8502198941
10	0.8359982634
11	0.8216014168
12	0.8100163924
13	0.8019795233
14	0.7935229801
15	0.785336241
16	0.7788265096
17	0.7679153829
18	0.7603189888
19	0.7530658629
20	0.7477318739
21	0.7408933174
22	0.7349921306
23	0.7292624992
24	0.7241993763
25	0.717135971
26	0.7144704179
27	0.7105533517
28	0.7046768789
29	0.7003539659
30	0.6954074383
31	0.6905363015
32	0.6847809117
33	0.6816847684
34	0.6769259933
35	0.6733884941
36	0.6692200443
37	0.6644529448
38	0.6621933917
39	0.6573321218
40	0.6549459765
41	0.6524133533
42	0.6485934465
43	0.6463547485
44	0.6432400667
45	0.6415615797
46	0.6388137454
47	0.6360869777
48	0.6313912258
49	0.6288895831
50	0.6264798477
51	0.6242485201
52	0.6189532242
53	0.6159477926
54	0.6131508217
55	0.6116014218
56	0.607821719
57	0.6060959392
58	0.6039298093
59	0.6025444168
60	0.6003634262
61	0.5981922542
62	0.596832229
63	0.5950143846
64	0.5927282876
65	0.5912885476
66	0.5887000724
67	0.5875504336
68	0.585876279
69	0.5831592509
70	0.5814459728
71	0.580930353
72	0.5786629398
73	0.5764841894
74	0.574408611
75	0.5725403494
76	0.5707644077
77	0.5694269654
78	0.5676486427
79	0.5669977514
80	0.5653449042
81	0.5623546602
82	0.5587951149
83	0.5559417293
84	0.5539573113
85	0.5530797366
86	0.5522346362
87	0.5501230824
88	0.5482478515
89	0.5467337949
90	0.5456701404
91	0.5448344361
92	0.5436875097
93	0.5415709557
94	0.5396945839
95	0.538695199
96	0.5371851368
97	0.5360374424
98	0.5341509657
99	0.5317746201
100	0.5306431773
101	0.5294539165
102	0.5282961488
103	0.5255466179
104	0.5237835235
105	0.5224058567
106	0.5219642391
107	0.5206077729
108	0.5192489191
109	0.5182363339
110	0.5173185151
111	0.5165013138
112	0.5150063467
113	0.5119509478
114	0.5100383565
115	0.508517469
116	0.5082734745
117	0.5060511436
118	0.5054487915
119	0.5039399607
120	0.5034124735
121	0.5028945281
122	0.5016351666
123	0.5001460335
124	0.4990876293
125	0.4971190864
126	0.4956593462
127	0.4942020973
128	0.4928367908
129	0.490393927
130	0.488827832
131	0.4873372028
132	0.4858965717
133	0.4840230509
134	0.4817942921
135	0.4809801313
136	0.4793234924
137	0.4772117003
138	0.4757893215
139	0.4747811706
140	0.4728660945
141	0.4715394415
142	0.4703729472
143	0.46911965
144	0.4679969182
145	0.4662702573
146	0.4648450091
147	0.4634260685
148	0.4629243111
149	0.4619677578
150	0.4606905094
151	0.4598107713
152	0.4583081436
153	0.4566193603
154	0.4557632853
155	0.4552788846
156	0.4543890852
157	0.4533626943
158	0.4529985339
159	0.4516488369
160	0.4495184255
161	0.448350624
162	0.4477778337
163	0.4456496518
164	0.4451202615
165	0.4421630255
166	0.4413245298
167	0.4406821462
168	0.4392449364
169	0.4375498935
170	0.436827012
171	0.4352527655
172	0.4350635317
173	0.4335480892
174	0.4323549155
175	0.4313036236
176	0.4303875946
177	0.429587926
178	0.4274547238
179	0.4266316194
180	0.4261054881
181	0.4256451029
182	0.4247966241
183	0.4239194044
184	0.4219788811
185	0.4213703677
186	0.4200850044
187	0.4187912818
188	0.4181826622
189	0.417343673
190	0.4165952744
191	0.4156850954
192	0.4144770156
193	0.4137555866
194	0.4131651769
195	0.4120539456
196	0.4105513782
197	0.4088156403
198	0.4076794569
199	0.4071763566
200	0.4058387542
201	0.4054270587
202	0.4046893593
203	0.4036405833
204	0.4024795601
205	0.400942408
206	0.4002991498
207	0.3997480925
208	0.3993789378
209	0.3984192526
210	0.3979886055
211	0.3975746621
212	0.3967098025
213	0.3959599651
214	0.3950324719
215	0.394671339
216	0.3934918239
217	0.3931289762
218	0.3928143557
219	0.3918156552
220	0.3915010979
221	0.3911937794
222	0.3901904807
223	0.3887823334
224	0.387848194
225	0.3862192009
226	0.3852424242
227	0.3842986148
228	0.3832450068
229	0.3826704857
230	0.3814158886
231	0.3807992314
232	0.3794403839
233	0.3783004789
234	0.3776431181
235	0.3765000514
236	0.3754652333
237	0.3750827154
238	0.3747112396
239	0.3745000134
240	0.3743437771
241	0.3732877828
242	0.3726471688
243	0.371861244
244	0.3712876166
245	0.3702203875
246	0.3690872268
247	0.3687051962
248	0.3670068654
249	0.36680585
250	0.3656005631
251	0.3654879288
252	0.3644139806
253	0.364171427
254	0.3630170452
255	0.3623544849
256	0.3610648418
257	0.3596944375
258	0.3584774561
259	0.3583249461
260	0.3573187961
261	0.3568437905
262	0.3560550014
263	0.3551186178
264	0.3543428127
265	0.3535963405
266	0.3528894285
267	0.3525859081
268	0.3515818557
269	0.3504824265
270	0.3500816553
271	0.3489109012
272	0.3471735074
273	0.3452149006
274	0.3447050096
275	0.3441143721
276	0.3430874739
277	0.3426307234
278	0.3412088398
279	0.3403611416
280	0.3398575244
281	0.3391165148
282	0.3384489402
283	0.3376362687
284	0.3358690563
285	0.3350349919
286	0.3349735706
287	0.3343870135
288	0.3339831071
289	0.3333967911
290	0.3328710704
291	0.3323368291
292	0.3316630151
293	0.3309390031
294	0.3298907176
295	0.3294243164
296	0.3287900487
297	0.3280642512
298	0.3272122733
299	0.3266134166
300	0.3264675991
301	0.3259126378
302	0.325699051
303	0.3252746387
304	0.3245052641
305	0.3237103892
306	0.3235550755
307	0.323037811
308	0.3223857642
309	0.3220203993
310	0.3218910029
311	0.3207178788
312	0.3205963369
313	0.3196643392
314	0.3193473802
315	0.3192461233
316	0.3187700235
317	0.3182445
318	0.3178917928
319	0.3172297898
320	0.3170593356
321	0.3164522196
322	0.3163362394
323	0.3157473414
324	0.3153429255
325	0.3148219237
326	0.3142475862
327	0.3141964795
328	0.3137788514
329	0.3128621898
330	0.311901917
331	0.3107225026
332	0.3100390461
333	0.3095994078
334	0.3094347572
335	0.3086152851
336	0.307749587
337	0.307103818
338	0.3070232426
339	0.3063097888
340	0.3051465688
341	0.3042030179
342	0.3037281731
343	0.3032124549
344	0.3028639035
345	0.3019912943
346	0.3016387254
347	0.3011374962
348	0.3010322684
349	0.2998475488
350	0.2993784593
351	0.2979160346
352	0.2972828375
353	0.296824731
354	0.2960723718
355	0.2949936123
356	0.2940109145
357	0.2938286542
358	0.2934515422
359	0.2928746097
360	0.2918888344
361	0.2916002108
362	0.2909137956
363	0.2902801327
364	0.2895315771
365	0.2887162736
366	0.287739231
367	0.2874157705
368	0.2873223384
369	0.2870531529
370	0.2862105695
371	0.2855590279
372	0.2853268748
373	0.2851099494
374	0.2837147305
375	0.2831945943
376	0.2827019134
377	0.281961747
378	0.2810908761
379	0.2798316969
380	0.2796331075
381	0.2792744732
382	0.2781314059
383	0.2777869306
384	0.2769694527
385	0.2761487773
386	0.2756190685
387	0.2754190853
388	0.2750627456
389	0.2743991249
390	0.273949921
391	0.273752615
392	0.2729084758
393	0.2723986224
394	0.2717578715
395	0.2708187567
396	0.2698414927
397	0.2696928807
398	0.269234377
399	0.2688205089
400	0.2683474821
401	0.2679239796
402	0.2676400931
403	0.2671940828
404	0.2668386844
405	0.266794751
406	0.2662591392
407	0.2659405112
408	0.2656722466
409	0.2653250683
410	0.264887212
411	0.2646508457
412	0.2641602975
413	0.2639744775
414	0.2635505477
415	0.2629814538
416	0.2627832685
417	0.262302883
418	0.2614885199
419	0.2606177783
420	0.2604612174
421	0.2599709106
422	0.2597337919
423	0.2587901762
424	0.2579395472
425	0.2572934551
426	0.2563681671
427	0.2561943106
428	0.255901678
429	0.2555753304
430	0.254958795
431	0.2545165095
432	0.2543681825
433	0.2541528612
434	0.2536845899
435	0.2534949499
436	0.2529962559
437	0.2523367928
438	0.2512539712
439	0.2508770023
440	0.2503777274
441	0.2500633978
442	0.2497622053
443	0.2492662376
444	0.2489657529
445	0.2484466396
446	0.2480285648
447	0.2474790661
448	0.2471188347
449	0.2460047921
450	0.2457241828
451	0.2454525862
452	0.2448191032
453	0.2444973735
454	0.244186771
455	0.2439921387
456	0.2435580239
457	0.2431317082
458	0.2427430135
459	0.2421844129
460	0.2418665855
461	0.2414129844
462	0.2402282494
463	0.2401023477
464	0.2395438658
465	0.2392225876
466	0.2385186587
467	0.2381993234
468	0.2378390542
469	0.2374589819
470	0.2367188369
471	0.2365040172
472	0.2359609981
473	0.2355291426
474	0.2349822537
475	0.2342127937
476	0.2339704315
477	0.2338570978
478	0.2334127373
479	0.2329233438
480	0.2327173741
481	0.2318285451
482	0.2313996803
483	0.230881045
484	0.2307603769
485	0.2303391256
486	0.2300506013
487	0.2299138727
488	0.2294655801
489	0.2288277406
490	0.2282111352
491	0.2278126487
492	0.2276508632
493	0.2268961308
494	0.2261449728
495	0.2258447397
496	0.2252508521
497	0.2248969744
498	0.2247345757
499	0.2242067044
500	0.2239748424
501	0.2237464179
502	0.223224009
503	0.2230057251
504	0.2229169783
505	0.2224663738
506	0.2221581347
507	0.2216623126
508	0.2212943293
509	0.2212153251
510	0.2211050546
511	0.2209901486
512	0.2208496021
513	0.2206930911
514	0.2204370768
515	0.2196130131
516	0.2195381315
517	0.2190822756
518	0.2184427956
519	0.2182196413
520	0.2180131339
521	0.2176577939
522	0.2173896834
523	0.2168187156
524	0.2167250695
525	0.2164242551
526	0.215998355
527	0.2156061562
528	0.2152646871
529	0.2152465542
530	0.2147334457
531	0.2139624725
532	0.2134950395
533	0.2131098636
534	0.2125893797
535	0.212272111
536	0.21191185
537	0.2117328509
538	0.2113693935
539	0.2109172316
540	0.2106509635
541	0.2102109932
542	0.2099838509
543	0.2096852875
544	0.2090403889
545	0.2087796143
546	0.2086079704
547	0.2080355216
548	0.2074777306
549	0.2073408694
550	0.2070658943
551	0.206625103
552	0.2065650712
553	0.2062531146
554	0.2052512907
555	0.2051408979
556	0.2048034705
557	0.204726454
558	0.2044328662
559	0.2041246844
560	0.2036818179
561	0.2033352354
562	0.2031616242
563	0.2029293812
564	0.2027264573
565	0.202631455
566	0.2024675014
567	0.2017646128
568	0.2014124867
569	0.2008751851
570	0.2002535135
571	0.1999772786
572	0.1996397133
573	0.199506697
574	0.1994123697
575	0.199271305
576	0.1988669419
577	0.1986371184
578	0.1983915011
579	0.1982754245
580	0.1980129391
581	0.1975277599
582	0.1973154416
583	0.1971693446
584	0.1968327943
585	0.1965951953
586	0.1963836925
587	0.1961135247
588	0.1957656672
589	0.1952933544
590	0.1948456077
591	0.1943024568
592	0.1942473242
593	0.1938606225
594	0.1931333216
595	0.1926343125
596	0.1918381203
597	0.1916192489
598	0.1913516738
599	0.1908270704
600	0.1904445775
601	0.1902303953
602	0.1900346345
603	0.1899226319
604	0.1893169101
605	0.1892904044
606	0.1886092488
607	0.1884768224
608	0.188070911
609	0.1879036178
610	0.1872365021
611	0.1870240997
612	0.1867143219
613	0.1864487426
614	0.1860452153
615	0.1857658613
616	0.1854573894
617	0.185328499
618	0.185091022
619	0.1850264413
620	0.1848777134
621	0.1846252266
622	0.1845972547
623	0.1844398937
624	0.1840034332
625	0.1834928556
626	0.1832646603
627	0.1830317287
628	0.1826159355
629	0.1825272787
630	0.1823299595
631	0.1820777933
632	0.1818079639
633	0.1816904845
634	0.1809940297
635	0.1808844222
636	0.1808432744
637	0.1805865246
638	0.1805042179
639	0.1801058452
640	0.179949766
641	0.1796596115
642	0.1795149488
643	0.1792765154
644	0.1789919359
645	0.1788257141
646	0.1783646492
647	0.1780281495
648	0.1778957434
649	0.1777160041
650	0.1774795106
651	0.1772773486
652	0.1772176623
653	0.1768460473
654	0.1762157584
655	0.1760505153
656	0.1755124332
657	0.1752685096
658	0.1750966878
659	0.1748009063
660	0.1743085252
661	0.1738455026
662	0.1738101782
663	0.1736081578
664	0.1735234327
665	0.1728323491
666	0.1724621418
667	0.1722885634
668	0.1720498682
669	0.1719327541
670	0.1719021019
671	0.1713956788
672	0.1709851196
673	0.1706443816
674	0.1704346557
675	0.1701546656
676	0.1697335572
677	0.1695533448
